word,sentiment
abacus,Trust
abandon,Fear
abandon,Negative
abandon,Sadness
abandoned,Anger
abandoned,Fear
abandoned,Negative
abandoned,Sadness
abandonment,Anger
abandonment,Fear
abandonment,Negative
abandonment,Sadness
abandonment,Surprise
abba,Positive
abbot,Trust
abduction,Fear
abduction,Negative
abduction,Sadness
abduction,Surprise
aberrant,Negative
aberration,Disgust
aberration,Negative
abhor,Anger
abhor,Disgust
abhor,Fear
abhor,Negative
abhorrent,Anger
abhorrent,Disgust
abhorrent,Fear
abhorrent,Negative
ability,Positive
abject,Disgust
abject,Negative
abnormal,Disgust
abnormal,Negative
abolish,Anger
abolish,Negative
abolition,Negative
abominable,Disgust
abominable,Fear
abominable,Negative
abomination,Anger
abomination,Disgust
abomination,Fear
abomination,Negative
abort,Negative
abortion,Disgust
abortion,Fear
abortion,Negative
abortion,Sadness
abortive,Negative
abortive,Sadness
abovementioned,Positive
abrasion,Negative
abrogate,Negative
abrupt,Surprise
abscess,Negative
abscess,Sadness
absence,Fear
absence,Negative
absence,Sadness
absent,Negative
absent,Sadness
absentee,Negative
absentee,Sadness
absenteeism,Negative
absolute,Positive
absolution,Joy
absolution,Positive
absolution,Trust
absorbed,Positive
absurd,Negative
absurdity,Negative
abundance,Anticipation
abundance,Disgust
abundance,Joy
abundance,Negative
abundance,Positive
abundance,Trust
abundant,Joy
abundant,Positive
abuse,Anger
abuse,Disgust
abuse,Fear
abuse,Negative
abuse,Sadness
abysmal,Negative
abysmal,Sadness
abyss,Fear
abyss,Negative
abyss,Sadness
academic,Positive
academic,Trust
academy,Positive
accelerate,Anticipation
acceptable,Positive
acceptance,Positive
accessible,Positive
accident,Fear
accident,Negative
accident,Sadness
accident,Surprise
accidental,Fear
accidental,Negative
accidental,Surprise
accidentally,Surprise
accolade,Anticipation
accolade,Joy
accolade,Positive
accolade,Surprise
accolade,Trust
accommodation,Positive
accompaniment,Anticipation
accompaniment,Joy
accompaniment,Positive
accompaniment,Trust
accomplish,Joy
accomplish,Positive
accomplished,Joy
accomplished,Positive
accomplishment,Positive
accord,Positive
accord,Trust
account,Trust
accountability,Positive
accountability,Trust
accountable,Positive
accountable,Trust
accountant,Trust
accounts,Trust
accredited,Positive
accredited,Trust
accueil,Positive
accurate,Positive
accurate,Trust
accursed,Anger
accursed,Fear
accursed,Negative
accursed,Sadness
accusation,Anger
accusation,Disgust
accusation,Negative
accusative,Negative
accused,Anger
accused,Fear
accused,Negative
accuser,Anger
accuser,Fear
accuser,Negative
accusing,Anger
accusing,Fear
accusing,Negative
ace,Positive
ache,Negative
ache,Sadness
achieve,Joy
achieve,Positive
achieve,Trust
achievement,Anticipation
achievement,Joy
achievement,Positive
achievement,Trust
aching,Negative
aching,Sadness
acid,Negative
acknowledgment,Positive
acquire,Positive
acquiring,Anticipation
acquiring,Positive
acrobat,Fear
acrobat,Joy
acrobat,Positive
acrobat,Trust
action,Positive
actionable,Anger
actionable,Disgust
actionable,Negative
actual,Positive
acuity,Positive
acumen,Positive
adapt,Positive
adaptable,Positive
