screen_name,tweet,created_at
realDonaldTrump,My great honor!!! https://t.co/kh2a5yumef,8/20/2020 4:38
realDonaldTrump,"The Obama Years:  

<U+27A1><U+FE0F> Pathetically weak foreign policy (ISIS, Iran nuclear deal).
<U+27A1><U+FE0F> Slow-growth, weak economy.
<U+27A1><U+FE0F> A rogue Department of Justice.  

I welcome a comparison between the accomplishments of President Trump and President Obama on multiple levels.",8/20/2020 4:26
realDonaldTrump,"President @BarackObama and Secretary @HillaryClinton give sore losers a bad name.  

https://t.co/qlgKNbHOIF",8/20/2020 4:14
realDonaldTrump,BUT DIDN’T SHE CALL HIM A RACIST??? DIDN’T SHE SAY HE WAS INCOMPETENT???,8/20/2020 3:17
realDonaldTrump,https://t.co/Ox9U3455w7,8/20/2020 3:17
realDonaldTrump,"WHY DID HE REFUSE TO ENDORSE SLOW JOE UNTIL IT WAS ALL OVER, AND EVEN THEN WAS VERY LATE? WHY DID HE TRY TO GET HIM NOT TO RUN?",8/20/2020 2:40
realDonaldTrump,"HE SPIED ON MY CAMPAIGN, AND GOT CAUGHT!",8/20/2020 2:33
realDonaldTrump,“I live in New York. Even the most Liberal friends that I have are thinking twice about voting Democrat this time because they’ve seen what’s happened to the City under @NYCMayor de Blasio and the State under @NYGovCuomo - They’re getting eaten up by taxes.” @DavidAsmanfox,8/20/2020 1:26
realDonaldTrump,"Welcome, Barack and Crooked Hillary. See you on the field of battle! https://t.co/ZrTKXcc6aU",8/19/2020 22:54
realDonaldTrump,https://t.co/gwfT7f7bLL,8/19/2020 22:51
realDonaldTrump,LIVE: President @realDonaldTrump holds a news conference https://t.co/kC6Zkg64SH,8/19/2020 21:54
realDonaldTrump,Will be having a Press Conference at 5:45 P.M. See you in 15 minutes!,8/19/2020 21:33
realDonaldTrump,"Why are Republicans allowing the Democrats to have ridiculous Post Office hearings on Saturday &amp; Monday, just before and during our Convention. Let them hold them NOW (during their Convention) or after our Convention is over. Always playing right into their hands! @senatemajldr",8/19/2020 15:20
realDonaldTrump,"Don’t buy GOODYEAR TIRES - They announced a BAN ON MAGA HATS. Get better tires for far less! (This is what the Radical Left Democrats do. Two can play the same game, and we have to start playing it now!).",8/19/2020 14:33
